vote,education,age,leave_column,age_group
stay,2.0,51,False,mid-life
stay,4.0,32,False,mid-life
stay,3.0,21,False,young
won't vote,,58,,mid-life
leave,2.0,51,True,mid-life
leave,4.0,55,True,mid-life
stay,5.0,53,False,mid-life
stay,5.0,49,False,mid-life
leave,4.0,36,True,mid-life
stay,,34,False,mid-life
stay,5.0,71,False,old
leave,,32,True,mid-life
leave,,64,True,old
leave,1.0,87,True,old
leave,4.0,53,True,mid-life
leave,2.0,49,True,mid-life
leave,1.0,52,True,mid-life
leave,4.0,58,True,mid-life
stay,5.0,66,False,old
stay,5.0,26,False,young
leave,2.0,55,True,mid-life
leave,3.0,26,True,young
don't know,5.0,51,,mid-life
don't know,2.0,70,,old
stay,2.0,59,False,mid-life
stay,5.0,56,False,mid-life
stay,2.0,45,False,mid-life
leave,2.0,77,True,old
stay,5.0,51,False,mid-life
stay,5.0,44,False,mid-life
leave,2.0,69,True,old
stay,5.0,51,False,mid-life
stay,4.0,49,False,mid-life
leave,3.0,65,True,old
stay,5.0,25,False,young
stay,2.0,46,False,mid-life
don't know,4.0,21,,young
leave,5.0,37,True,mid-life
stay,2.0,56,False,mid-life
stay,5.0,28,False,young
leave,1.0,65,True,old
stay,2.0,43,False,mid-life
stay,3.0,65,False,old
stay,,26,False,young
leave,3.0,45,True,mid-life
leave,4.0,24,True,young
stay,4.0,54,False,mid-life
stay,,40,False,mid-life
stay,1.0,69,False,old
stay,4.0,37,False,mid-life
don't know,2.0,57,,mid-life
leave,,57,True,mid-life
stay,4.0,34,False,mid-life
stay,3.0,54,False,mid-life
leave,2.0,53,True,mid-life
stay,4.0,70,False,old
don't know,4.0,27,,young
don't know,4.0,26,,young
stay,2.0,53,False,mid-life
leave,4.0,45,True,mid-life
leave,3.0,59,True,mid-life
leave,1.0,41,True,mid-life
leave,5.0,28,True,young
leave,,62,True,old
stay,4.0,64,False,old
stay,4.0,59,False,mid-life
won't vote,3.0,40,,mid-life
stay,3.0,21,False,young
leave,2.0,67,True,old
leave,3.0,57,True,mid-life
leave,1.0,48,True,mid-life
leave,,41,True,mid-life
stay,2.0,35,False,mid-life
stay,4.0,73,False,old
leave,,69,True,old
stay,4.0,33,False,mid-life
stay,2.0,53,False,mid-life
leave,1.0,50,True,mid-life
stay,,60,False,mid-life
stay,4.0,69,False,old
leave,5.0,33,True,mid-life
stay,3.0,50,False,mid-life
stay,4.0,25,False,young
leave,1.0,64,True,old
stay,3.0,48,False,mid-life
stay,5.0,24,False,young
leave,3.0,65,True,old
stay,,37,False,mid-life
don't know,4.0,28,,young
leave,2.0,61,True,old
don't know,2.0,81,,old
leave,2.0,60,True,mid-life
leave,4.0,68,True,old
stay,2.0,39,False,mid-life
stay,3.0,62,False,old
leave,,37,True,mid-life
stay,2.0,26,False,young
stay,3.0,22,False,young
stay,5.0,26,False,young
stay,4.0,38,False,mid-life
leave,4.0,72,True,old
leave,4.0,80,True,old
stay,2.0,44,False,mid-life
leave,,70,True,old
stay,5.0,63,False,old
leave,4.0,62,True,old
stay,4.0,25,False,young
leave,3.0,44,True,mid-life
stay,4.0,42,False,mid-life
leave,4.0,59,True,mid-life
leave,2.0,74,True,old
leave,3.0,75,True,old
leave,1.0,60,True,mid-life
leave,5.0,76,True,old
leave,4.0,42,True,mid-life
leave,4.0,54,True,mid-life
stay,3.0,64,False,old
leave,2.0,70,True,old
leave,1.0,65,True,old
don't know,4.0,44,,mid-life
stay,4.0,65,False,old
stay,2.0,42,False,mid-life
stay,2.0,23,False,young
stay,4.0,62,False,old
leave,2.0,66,True,old
stay,4.0,60,False,mid-life
stay,3.0,23,False,young
leave,2.0,40,True,mid-life
leave,4.0,67,True,old
leave,3.0,59,True,mid-life
leave,2.0,64,True,old
stay,3.0,70,False,old
stay,3.0,60,False,mid-life
stay,5.0,58,False,mid-life
stay,3.0,60,False,mid-life
leave,3.0,45,True,mid-life
stay,2.0,59,False,mid-life
leave,1.0,67,True,old
leave,2.0,69,True,old
stay,4.0,36,False,mid-life
stay,2.0,63,False,old
stay,2.0,29,False,young
leave,4.0,38,True,mid-life
leave,2.0,65,True,old
leave,4.0,70,True,old
stay,3.0,69,False,old
don't know,4.0,60,,mid-life
leave,5.0,59,True,mid-life
stay,4.0,63,False,old
stay,2.0,71,False,old
leave,4.0,65,True,old
stay,5.0,69,False,old
leave,4.0,41,True,mid-life
stay,4.0,35,False,mid-life
leave,4.0,70,True,old
leave,4.0,81,True,old
leave,,23,True,young
leave,3.0,62,True,old
stay,4.0,73,False,old
stay,4.0,34,False,mid-life
stay,5.0,58,False,mid-life
leave,4.0,69,True,old
leave,,78,True,old
stay,4.0,56,False,mid-life
stay,4.0,67,False,old
won't vote,3.0,37,,mid-life
leave,2.0,68,True,old
stay,3.0,73,False,old
don't know,4.0,35,,mid-life
don't know,3.0,24,,young
stay,4.0,31,False,mid-life
don't know,4.0,47,,mid-life
stay,2.0,20,False,young
stay,4.0,23,False,young
stay,4.0,67,False,old
leave,4.0,64,True,old
stay,4.0,33,False,mid-life
leave,4.0,50,True,mid-life
leave,3.0,61,True,old
leave,4.0,30,True,mid-life
stay,4.0,63,False,old
leave,2.0,47,True,mid-life
don't know,4.0,60,,mid-life
leave,4.0,59,True,mid-life
leave,1.0,70,True,old
stay,2.0,62,False,old
stay,5.0,61,False,old
stay,5.0,24,False,young
leave,4.0,37,True,mid-life
stay,4.0,25,False,young
stay,5.0,26,False,young
leave,2.0,43,True,mid-life
stay,3.0,18,False,young
leave,,78,True,old
stay,3.0,53,False,mid-life
stay,4.0,56,False,mid-life
leave,5.0,64,True,old
stay,4.0,37,False,mid-life
stay,2.0,52,False,mid-life
leave,2.0,60,True,mid-life
leave,3.0,46,True,mid-life
leave,3.0,65,True,old
stay,3.0,18,False,young
leave,2.0,54,True,mid-life
leave,,50,True,mid-life
leave,3.0,44,True,mid-life
stay,2.0,49,False,mid-life
leave,3.0,70,True,old
stay,5.0,37,False,mid-life
leave,3.0,21,True,young
stay,5.0,62,False,old
leave,2.0,68,True,old
stay,3.0,19,False,young
stay,4.0,20,False,young
stay,5.0,60,False,mid-life
stay,,40,False,mid-life
stay,4.0,43,False,mid-life
leave,4.0,22,True,young
stay,5.0,65,False,old
stay,,24,False,young
stay,3.0,70,False,old
leave,,75,True,old
stay,3.0,26,False,young
stay,5.0,59,False,mid-life
leave,3.0,20,True,young
leave,2.0,57,True,mid-life
stay,4.0,54,False,mid-life
stay,3.0,22,False,young
stay,4.0,61,False,old
leave,4.0,57,True,mid-life
leave,2.0,64,True,old
don't know,2.0,40,,mid-life
don't know,3.0,44,,mid-life
leave,,70,True,old
leave,2.0,73,True,old
leave,3.0,72,True,old
stay,4.0,65,False,old
stay,3.0,81,False,old
stay,4.0,71,False,old
leave,3.0,58,True,mid-life
stay,3.0,20,False,young
leave,,64,True,old
don't know,,63,,old
stay,4.0,62,False,old
don't know,3.0,48,,mid-life
leave,4.0,57,True,mid-life
won't vote,3.0,43,,mid-life
stay,4.0,68,False,old
leave,4.0,71,True,old
leave,2.0,46,True,mid-life
leave,4.0,60,True,mid-life
leave,,72,True,old
leave,2.0,61,True,old
leave,,79,True,old
stay,4.0,25,False,young
leave,,57,True,mid-life
leave,,68,True,old
leave,3.0,56,True,mid-life
leave,,58,True,mid-life
leave,2.0,55,True,mid-life
stay,4.0,30,False,mid-life
leave,2.0,66,True,old
leave,3.0,61,True,old
leave,4.0,42,True,mid-life
leave,3.0,38,True,mid-life
stay,4.0,25,False,young
leave,2.0,64,True,old
leave,2.0,68,True,old
leave,1.0,63,True,old
don't know,,62,,old
don't know,4.0,43,,mid-life
leave,4.0,66,True,old
stay,5.0,28,False,young
leave,,51,True,mid-life
stay,2.0,37,False,mid-life
leave,4.0,62,True,old
leave,4.0,70,True,old
stay,3.0,59,False,mid-life
leave,2.0,58,True,mid-life
stay,3.0,21,False,young
leave,3.0,20,True,young
leave,,40,True,mid-life
stay,3.0,23,False,young
stay,2.0,43,False,mid-life
leave,1.0,65,True,old
stay,4.0,26,False,young
leave,2.0,60,True,mid-life
stay,3.0,48,False,mid-life
stay,3.0,25,False,young
leave,2.0,54,True,mid-life
leave,2.0,58,True,mid-life
leave,5.0,69,True,old
leave,3.0,65,True,old
leave,4.0,64,True,old
don't know,3.0,18,,young
stay,3.0,18,False,young
stay,4.0,66,False,old
won't vote,,82,,old
stay,1.0,50,False,mid-life
stay,4.0,67,False,old
leave,1.0,34,True,mid-life
stay,1.0,59,False,mid-life
don't know,2.0,55,,mid-life
leave,3.0,46,True,mid-life
leave,2.0,60,True,mid-life
leave,2.0,77,True,old
leave,5.0,26,True,young
leave,2.0,66,True,old
stay,,49,False,mid-life
stay,5.0,41,False,mid-life
stay,5.0,26,False,young
stay,2.0,42,False,mid-life
leave,,76,True,old
stay,3.0,40,False,mid-life
leave,4.0,44,True,mid-life
stay,4.0,40,False,mid-life
won't vote,2.0,22,,young
stay,5.0,33,False,mid-life
don't know,3.0,42,,mid-life
stay,4.0,69,False,old
stay,2.0,73,False,old
leave,4.0,84,True,old
stay,5.0,36,False,mid-life
stay,3.0,26,False,young
stay,5.0,49,False,mid-life
stay,4.0,45,False,mid-life
leave,3.0,67,True,old
stay,2.0,43,False,mid-life
leave,4.0,75,True,old
leave,2.0,50,True,mid-life
leave,2.0,67,True,old
don't know,3.0,35,,mid-life
stay,4.0,33,False,mid-life
stay,4.0,31,False,mid-life
leave,4.0,58,True,mid-life
leave,2.0,69,True,old
stay,3.0,20,False,young
stay,4.0,66,False,old
leave,,67,True,old
stay,2.0,48,False,mid-life
leave,4.0,48,True,mid-life
don't know,1.0,57,,mid-life
leave,,35,True,mid-life
stay,3.0,47,False,mid-life
won't vote,4.0,23,,young
stay,4.0,26,False,young
stay,4.0,62,False,old
stay,4.0,24,False,young
leave,,52,True,mid-life
don't know,3.0,23,,young
stay,1.0,35,False,mid-life
don't know,3.0,44,,mid-life
stay,3.0,58,False,mid-life
leave,3.0,36,True,mid-life
leave,1.0,73,True,old
stay,4.0,22,False,young
stay,4.0,62,False,old
stay,4.0,25,False,young
stay,4.0,25,False,young
stay,4.0,26,False,young
leave,4.0,51,True,mid-life
leave,3.0,59,True,mid-life
don't know,2.0,46,,mid-life
don't know,1.0,58,,mid-life
don't know,4.0,58,,mid-life
leave,4.0,50,True,mid-life
don't know,,48,,mid-life
stay,4.0,41,False,mid-life
leave,1.0,43,True,mid-life
stay,4.0,63,False,old
don't know,4.0,62,,old
stay,4.0,42,False,mid-life
stay,3.0,22,False,young
leave,2.0,56,True,mid-life
stay,,75,False,old
don't know,4.0,47,,mid-life
leave,2.0,70,True,old
stay,5.0,48,False,mid-life
stay,2.0,21,False,young
stay,4.0,45,False,mid-life
don't know,4.0,42,,mid-life
stay,,90,False,old
won't vote,3.0,18,,young
stay,4.0,45,False,mid-life
stay,3.0,18,False,young
stay,4.0,53,False,mid-life
leave,3.0,67,True,old
leave,2.0,56,True,mid-life
stay,2.0,57,False,mid-life
don't know,2.0,75,,old
stay,5.0,24,False,young
don't know,2.0,23,,young
stay,5.0,30,False,mid-life
stay,3.0,61,False,old
don't know,1.0,60,,mid-life
leave,2.0,60,True,mid-life
stay,4.0,68,False,old
stay,2.0,45,False,mid-life
stay,4.0,24,False,young
don't know,3.0,61,,old
stay,4.0,26,False,young
leave,1.0,35,True,mid-life
stay,3.0,26,False,young
stay,4.0,21,False,young
leave,3.0,71,True,old
leave,3.0,19,True,young
stay,3.0,20,False,young
stay,5.0,67,False,old
stay,4.0,26,False,young
stay,2.0,74,False,old
leave,4.0,45,True,mid-life
don't know,4.0,68,,old
don't know,4.0,40,,mid-life
stay,2.0,65,False,old
stay,5.0,49,False,mid-life
leave,2.0,54,True,mid-life
leave,4.0,58,True,mid-life
stay,4.0,25,False,young
leave,5.0,57,True,mid-life
leave,5.0,68,True,old
leave,,54,True,mid-life
leave,2.0,56,True,mid-life
stay,3.0,23,False,young
leave,,67,True,old
leave,,19,True,young
leave,1.0,73,True,old
stay,4.0,23,False,young
leave,4.0,25,True,young
leave,2.0,61,True,old
don't know,3.0,39,,mid-life
leave,4.0,40,True,mid-life
stay,2.0,53,False,mid-life
leave,2.0,68,True,old
stay,3.0,58,False,mid-life
stay,2.0,54,False,mid-life
stay,4.0,34,False,mid-life
stay,3.0,20,False,young
leave,5.0,68,True,old
stay,4.0,26,False,young
don't know,3.0,18,,young
don't know,3.0,55,,mid-life
stay,3.0,20,False,young
leave,4.0,40,True,mid-life
stay,4.0,27,False,young
leave,4.0,52,True,mid-life
stay,4.0,44,False,mid-life
leave,4.0,56,True,mid-life
leave,2.0,30,True,mid-life
leave,2.0,62,True,old
leave,,62,True,old
won't vote,4.0,22,,young
stay,5.0,37,False,mid-life
won't vote,4.0,22,,young
stay,4.0,40,False,mid-life
leave,5.0,49,True,mid-life
leave,4.0,69,True,old
leave,3.0,58,True,mid-life
stay,4.0,33,False,mid-life
leave,1.0,77,True,old
don't know,,51,,mid-life
leave,5.0,33,True,mid-life
stay,3.0,62,False,old
stay,,64,False,old
stay,4.0,52,False,mid-life
stay,4.0,49,False,mid-life
stay,5.0,66,False,old
stay,4.0,25,False,young
stay,3.0,54,False,mid-life
stay,5.0,56,False,mid-life
stay,4.0,33,False,mid-life
leave,3.0,70,True,old
leave,,61,True,old
stay,3.0,29,False,young
stay,4.0,51,False,mid-life
leave,3.0,31,True,mid-life
leave,,49,True,mid-life
stay,4.0,41,False,mid-life
stay,4.0,69,False,old
don't know,4.0,63,,old
stay,2.0,67,False,old
stay,4.0,56,False,mid-life
stay,4.0,22,False,young
don't know,3.0,55,,mid-life
leave,4.0,60,True,mid-life
leave,3.0,49,True,mid-life
stay,2.0,55,False,mid-life
leave,2.0,68,True,old
leave,2.0,57,True,mid-life
stay,3.0,73,False,old
leave,,73,True,old
don't know,1.0,46,,mid-life
stay,5.0,64,False,old
leave,4.0,32,True,mid-life
leave,3.0,55,True,mid-life
leave,4.0,82,True,old
stay,4.0,49,False,mid-life
stay,1.0,60,False,mid-life
stay,5.0,41,False,mid-life
stay,4.0,70,False,old
stay,2.0,51,False,mid-life
stay,2.0,54,False,mid-life
stay,,29,False,young
leave,4.0,25,True,young
leave,4.0,42,True,mid-life
don't know,2.0,55,,mid-life
stay,5.0,68,False,old
leave,3.0,68,True,old
leave,4.0,53,True,mid-life
leave,1.0,69,True,old
leave,3.0,61,True,old
stay,4.0,60,False,mid-life
stay,3.0,54,False,mid-life
stay,4.0,39,False,mid-life
leave,4.0,78,True,old
won't vote,,22,,young
leave,4.0,62,True,old
won't vote,,59,,mid-life
leave,2.0,31,True,mid-life
leave,4.0,62,True,old
stay,4.0,24,False,young
leave,2.0,49,True,mid-life
leave,2.0,57,True,mid-life
stay,4.0,43,False,mid-life
stay,4.0,40,False,mid-life
stay,4.0,26,False,young
leave,2.0,63,True,old
stay,4.0,53,False,mid-life
stay,2.0,44,False,mid-life
stay,5.0,43,False,mid-life
stay,3.0,22,False,young
stay,1.0,61,False,old
stay,4.0,51,False,mid-life
stay,4.0,52,False,mid-life
stay,3.0,19,False,young
don't know,2.0,56,,mid-life
stay,3.0,18,False,young
stay,3.0,62,False,old
stay,3.0,34,False,mid-life
stay,4.0,43,False,mid-life
stay,2.0,36,False,mid-life
stay,,35,False,mid-life
don't know,2.0,59,,mid-life
stay,2.0,28,False,young
leave,4.0,69,True,old
stay,3.0,48,False,mid-life
stay,5.0,45,False,mid-life
leave,5.0,36,True,mid-life
leave,3.0,58,True,mid-life
stay,4.0,55,False,mid-life
stay,2.0,45,False,mid-life
leave,5.0,35,True,mid-life
leave,4.0,72,True,old
stay,4.0,30,False,mid-life
stay,4.0,34,False,mid-life
leave,,54,True,mid-life
leave,,72,True,old
stay,4.0,66,False,old
stay,4.0,56,False,mid-life
leave,4.0,69,True,old
stay,3.0,68,False,old
stay,3.0,60,False,mid-life
stay,2.0,40,False,mid-life
stay,4.0,37,False,mid-life
leave,4.0,62,True,old
stay,4.0,63,False,old
don't know,4.0,63,,old
stay,4.0,63,False,old
don't know,,39,,mid-life
leave,,69,True,old
stay,4.0,54,False,mid-life
leave,3.0,47,True,mid-life
leave,4.0,56,True,mid-life
stay,5.0,65,False,old
don't know,4.0,66,,old
leave,3.0,21,True,young
leave,4.0,40,True,mid-life
stay,5.0,26,False,young
stay,3.0,20,False,young
leave,2.0,60,True,mid-life
stay,4.0,23,False,young
stay,4.0,30,False,mid-life
don't know,3.0,44,,mid-life
leave,4.0,46,True,mid-life
leave,2.0,58,True,mid-life
stay,2.0,71,False,old
stay,3.0,24,False,young
leave,1.0,54,True,mid-life
stay,5.0,66,False,old
stay,3.0,55,False,mid-life
stay,2.0,61,False,old
don't know,3.0,33,,mid-life
stay,3.0,67,False,old
leave,3.0,62,True,old
don't know,,70,,old
leave,,78,True,old
leave,,53,True,mid-life
stay,3.0,21,False,young
stay,5.0,75,False,old
leave,4.0,73,True,old
stay,4.0,30,False,mid-life
won't vote,,35,,mid-life
leave,3.0,68,True,old
stay,4.0,46,False,mid-life
leave,4.0,39,True,mid-life
don't know,,73,,old
leave,4.0,24,True,young
leave,2.0,66,True,old
stay,,54,False,mid-life
stay,,55,False,mid-life
stay,,61,False,old
leave,,23,True,young
won't vote,3.0,26,,young
leave,4.0,49,True,mid-life
stay,4.0,40,False,mid-life
leave,2.0,65,True,old
leave,3.0,61,True,old
stay,,63,False,old
leave,,61,True,old
don't know,,22,,young
stay,4.0,53,False,mid-life
leave,2.0,54,True,mid-life
stay,2.0,61,False,old
stay,,48,False,mid-life
leave,3.0,27,True,young
don't know,,58,,mid-life
stay,,46,False,mid-life
stay,4.0,49,False,mid-life
stay,4.0,24,False,young
leave,4.0,70,True,old
don't know,4.0,61,,old
stay,4.0,45,False,mid-life
don't know,1.0,27,,young
stay,2.0,48,False,mid-life
stay,,60,False,mid-life
leave,2.0,42,True,mid-life
leave,4.0,25,True,young
leave,4.0,60,True,mid-life
leave,2.0,74,True,old
leave,5.0,45,True,mid-life
don't know,2.0,74,,old
stay,4.0,59,False,mid-life
leave,4.0,47,True,mid-life
stay,2.0,55,False,mid-life
stay,,78,False,old
leave,2.0,55,True,mid-life
leave,2.0,52,True,mid-life
stay,,45,False,mid-life
stay,4.0,35,False,mid-life
stay,5.0,65,False,old
leave,2.0,69,True,old
stay,3.0,45,False,mid-life
leave,4.0,41,True,mid-life
leave,4.0,51,True,mid-life
don't know,3.0,51,,mid-life
leave,2.0,57,True,mid-life
leave,,42,True,mid-life
leave,,20,True,young
stay,4.0,58,False,mid-life
won't vote,4.0,25,,young
leave,,61,True,old
leave,4.0,44,True,mid-life
stay,4.0,56,False,mid-life
stay,4.0,42,False,mid-life
stay,4.0,46,False,mid-life
leave,2.0,62,True,old
leave,2.0,50,True,mid-life
don't know,,47,,mid-life
stay,4.0,26,False,young
won't vote,4.0,33,,mid-life
stay,3.0,46,False,mid-life
leave,2.0,55,True,mid-life
don't know,,70,,old
leave,2.0,64,True,old
don't know,3.0,44,,mid-life
stay,4.0,65,False,old
stay,2.0,69,False,old
don't know,,28,,young
leave,2.0,41,True,mid-life
leave,1.0,65,True,old
stay,1.0,63,False,old
stay,3.0,51,False,mid-life
won't vote,4.0,41,,mid-life
leave,2.0,70,True,old
stay,2.0,43,False,mid-life
don't know,2.0,55,,mid-life
leave,2.0,62,True,old
stay,3.0,49,False,mid-life
stay,1.0,61,False,old
stay,4.0,57,False,mid-life
stay,4.0,39,False,mid-life
leave,,43,True,mid-life
stay,4.0,54,False,mid-life
stay,3.0,54,False,mid-life
stay,4.0,54,False,mid-life
stay,3.0,59,False,mid-life
stay,3.0,60,False,mid-life
don't know,2.0,45,,mid-life
don't know,1.0,62,,old
leave,3.0,60,True,mid-life
don't know,4.0,44,,mid-life
leave,,67,True,old
stay,,63,False,old
don't know,2.0,31,,mid-life
won't vote,4.0,58,,mid-life
leave,4.0,28,True,young
stay,4.0,67,False,old
leave,,55,True,mid-life
leave,,48,True,mid-life
stay,2.0,56,False,mid-life
leave,3.0,36,True,mid-life
leave,1.0,37,True,mid-life
don't know,1.0,62,,old
don't know,1.0,68,,old
stay,2.0,73,False,old
leave,1.0,60,True,mid-life
stay,3.0,76,False,old
stay,2.0,62,False,old
don't know,2.0,71,,old
stay,4.0,33,False,mid-life
leave,3.0,59,True,mid-life
stay,3.0,76,False,old
leave,3.0,69,True,old
stay,5.0,62,False,old
leave,4.0,62,True,old
don't know,4.0,24,,young
leave,,64,True,old
leave,1.0,59,True,mid-life
leave,3.0,53,True,mid-life
stay,,38,False,mid-life
don't know,2.0,51,,mid-life
stay,4.0,35,False,mid-life
stay,4.0,50,False,mid-life
stay,1.0,82,False,old
leave,2.0,57,True,mid-life
leave,2.0,69,True,old
leave,2.0,43,True,mid-life
stay,2.0,68,False,old
stay,2.0,59,False,mid-life
leave,4.0,25,True,young
stay,2.0,21,False,young
leave,,44,True,mid-life
stay,2.0,73,False,old
don't know,,48,,mid-life
stay,5.0,60,False,mid-life
leave,,32,True,mid-life
stay,2.0,70,False,old
stay,,66,False,old
leave,2.0,56,True,mid-life
stay,4.0,42,False,mid-life
stay,,63,False,old
stay,4.0,23,False,young
stay,,62,False,old
leave,1.0,79,True,old
stay,2.0,25,False,young
leave,3.0,49,True,mid-life
stay,3.0,60,False,mid-life
stay,4.0,64,False,old
leave,4.0,28,True,young
don't know,3.0,66,,old
don't know,3.0,52,,mid-life
don't know,2.0,48,,mid-life
leave,1.0,76,True,old
stay,4.0,60,False,mid-life
leave,3.0,53,True,mid-life
won't vote,4.0,69,,old
leave,2.0,50,True,mid-life
stay,4.0,65,False,old
stay,2.0,41,False,mid-life
leave,2.0,73,True,old
leave,4.0,67,True,old
don't know,2.0,60,,mid-life
leave,2.0,58,True,mid-life
stay,4.0,24,False,young
leave,3.0,22,True,young
don't know,3.0,83,,old
leave,1.0,62,True,old
leave,2.0,58,True,mid-life
leave,2.0,37,True,mid-life
stay,4.0,61,False,old
leave,2.0,59,True,mid-life
stay,,68,False,old
leave,3.0,53,True,mid-life
stay,3.0,55,False,mid-life
stay,4.0,61,False,old
leave,4.0,58,True,mid-life
leave,4.0,67,True,old
don't know,4.0,23,,young
won't vote,3.0,48,,mid-life
stay,4.0,26,False,young
leave,1.0,71,True,old
stay,3.0,35,False,mid-life
leave,4.0,59,True,mid-life
leave,,55,True,mid-life
stay,4.0,61,False,old
leave,1.0,58,True,mid-life
leave,3.0,68,True,old
stay,3.0,59,False,mid-life
leave,,59,True,mid-life
stay,4.0,59,False,mid-life
stay,4.0,28,False,young
leave,2.0,37,True,mid-life
leave,2.0,53,True,mid-life
stay,4.0,22,False,young
stay,4.0,44,False,mid-life
leave,3.0,24,True,young
stay,3.0,63,False,old
leave,3.0,46,True,mid-life
stay,4.0,36,False,mid-life
stay,5.0,55,False,mid-life
leave,3.0,47,True,mid-life
stay,4.0,26,False,young
stay,3.0,32,False,mid-life
leave,3.0,49,True,mid-life
leave,,68,True,old
stay,3.0,48,False,mid-life
stay,5.0,25,False,young
leave,4.0,23,True,young
stay,5.0,33,False,mid-life
don't know,1.0,70,,old
stay,4.0,23,False,young
leave,2.0,42,True,mid-life
leave,3.0,59,True,mid-life
don't know,3.0,61,,old
don't know,4.0,62,,old
stay,4.0,54,False,mid-life
leave,,75,True,old
stay,4.0,22,False,young
leave,3.0,60,True,mid-life
stay,4.0,58,False,mid-life
stay,4.0,43,False,mid-life
leave,4.0,56,True,mid-life
leave,2.0,30,True,mid-life
stay,5.0,62,False,old
leave,3.0,30,True,mid-life
stay,5.0,29,False,young
stay,4.0,34,False,mid-life
leave,2.0,59,True,mid-life
stay,,56,False,mid-life
leave,3.0,61,True,old
